[ 2016-07-07T14:40:29+08:00 ] /QA/ | INFO: Tag[ app_begin ] --START--
[ 2016-07-07T21:15:34+08:00 ] /QA/index.php/show/index/id/15 | NOTIC: [8] Use of undefined constant solve - assumed 'solve' f354fc626e6f7e38fd97a443b43fbcf1.php 第 100 行.
[ 2016-07-07T21:15:34+08:00 ] /QA/index.php/show/index/id/15 | NOTIC: [8] Use of undefined constant id - assumed 'id' f354fc626e6f7e38fd97a443b43fbcf1.php 第 100 行.
[ 2016-07-07T21:15:34+08:00 ] /QA/index.php/show/index/id/15 | NOTIC: [8] Use of undefined constant id - assumed 'id' f354fc626e6f7e38fd97a443b43fbcf1.php 第 100 行.
[ 2016-07-07T21:15:34+08:00 ] /QA/index.php/show/index/id/15 | NOTIC: [8] Use of undefined constant uid - assumed 'uid' f354fc626e6f7e38fd97a443b43fbcf1.php 第 100 行.
[ 2016-07-07T21:15:34+08:00 ] /QA/index.php/show/index/id/15 | NOTIC: [8] Use of undefined constant ask - assumed 'ask' f354fc626e6f7e38fd97a443b43fbcf1.php 第 100 行.
[ 2016-07-07T21:15:34+08:00 ] /QA/index.php/show/index/id/15 | NOTIC: [8] Use of undefined constant solve - assumed 'solve' f354fc626e6f7e38fd97a443b43fbcf1.php 第 100 行.
[ 2016-07-07T21:15:34+08:00 ] /QA/index.php/show/index/id/15 | NOTIC: [8] Use of undefined constant id - assumed 'id' f354fc626e6f7e38fd97a443b43fbcf1.php 第 100 行.
[ 2016-07-07T21:15:34+08:00 ] /QA/index.php/show/index/id/15 | NOTIC: [8] Use of undefined constant id - assumed 'id' f354fc626e6f7e38fd97a443b43fbcf1.php 第 100 行.
[ 2016-07-07T21:15:34+08:00 ] /QA/index.php/show/index/id/15 | NOTIC: [8] Use of undefined constant uid - assumed 'uid' f354fc626e6f7e38fd97a443b43fbcf1.php 第 100 行.
[ 2016-07-07T21:15:34+08:00 ] /QA/index.php/show/index/id/15 | INFO: Run ParseTemplate Behavior [ RunTime:0.021001s ]
[ 2016-07-07T21:15:34+08:00 ] /QA/index.php/show/index/id/15 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.022001s ]
[ 2016-07-07T21:15:34+08:00 ] /QA/index.php/show/index/id/15 | INFO: Tag[ view_filter ] --START--
[ 2016-07-07T21:15:34+08:00 ] /QA/index.php/show/index/id/15 | INFO: Run ContentReplace Behavior [ RunTime:0.000000s ]
[ 2016-07-07T21:15:34+08:00 ] /QA/index.php/show/index/id/15 | INFO: Run TokenBuild Behavior [ RunTime:0.000000s ]
[ 2016-07-07T21:15:34+08:00 ] /QA/index.php/show/index/id/15 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000000s ]
[ 2016-07-07T21:15:34+08:00 ] /QA/index.php/show/index/id/15 | INFO: Run ShowRuntime Behavior [ RunTime:0.001000s ]
[ 2016-07-07T21:15:34+08:00 ] /QA/index.php/show/index/id/15 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003000s ]
[ 2016-07-07T21:15:34+08:00 ] /QA/index.php/show/index/id/15 | INFO: Tag[ view_end ] --START--
[ 2016-07-07T21:15:34+08:00 ] /QA/index.php/show/index/id/15 | INFO: Run ShowPageTrace Behavior [ RunTime:0.001000s ]
[ 2016-07-07T21:15:34+08:00 ] /QA/index.php/show/index/id/15 | INFO: Tag[ view_end ] --END-- [ RunTime:0.001000s ]
[ 2016-07-07T21:17:32+08:00 ] /QA/index.php/show/index/id/15 | INFO: Tag[ route_check ] --START--
[ 2016-07-07T21:17:32+08:00 ] /QA/index.php/show/index/id/15 | INFO: Run CheckRoute Behavior [ RunTime:0.002000s ]
[ 2016-07-07T21:17:32+08:00 ] /QA/index.php/show/index/id/15 | INFO: Tag[ route_check ] --END-- [ RunTime:0.003000s ]
[ 2016-07-07T21:17:32+08:00 ] /QA/index.php/show/index/id/15 | INFO: Tag[ app_begin ] --START--
[ 2016-07-07T21:17:32+08:00 ] /QA/index.php/show/index/id/15 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002000s ]
[ 2016-07-07T21:17:32+08:00 ] /QA/index.php/show/index/id/15 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002000s ]
[ 2016-07-07T21:17:33+08:00 ] /QA/index.php/show/index/id/15 | SQL: SHOW COLUMNS FROM `wl_question` [ RunTime:0.016001s ]
[ 2016-07-07T21:17:33+08:00 ] /QA/index.php/show/index/id/15 | SQL: SHOW COLUMNS FROM `wl_index_user` [ RunTime:0.011001s ]
[ 2016-07-07T21:17:33+08:00 ] /QA/index.php/show/index/id/15 | SQL: SELECT question.id AS id,question.ask_content AS ask_content,question.money_reward AS money_reward,question.solve AS solve,question.ask_time AS ask_time,question.cid AS cid,question.answer AS answer,question.uid AS uid,Index_user.username AS username,Index_user.experience AS experience FROM wl_question question LEFT JOIN wl_index_user Index_user ON question.uid = Index_user.id WHERE ( question.id = 15 ) LIMIT 1   [ RunTime:0.000000s ]
[ 2016-07-07T21:17:33+08:00 ] /QA/index.php/show/index/id/15 | SQL: SHOW COLUMNS FROM `wl_answer` [ RunTime:0.011000s ]
[ 2016-07-07T21:17:33+08:00 ] /QA/index.php/show/index/id/15 | SQL: SELECT answer.id AS id,answer.answer_content AS answer_content,answer.answer_time AS answer_time,Index_user.id AS id,Index_user.username AS username,Index_user.experience AS experience,Index_user.answer AS answer,Index_user.adopt AS adopt FROM wl_answer answer LEFT JOIN wl_index_user Index_user ON answer.uid=Index_user.id WHERE ( `aid` = 15 ) AND ( answer.adopt = 1 ) LIMIT 1   [ RunTime:0.001000s ]
[ 2016-07-07T21:17:33+08:00 ] /QA/index.php/show/index/id/15 | SQL: SELECT COUNT(*) AS tp_count FROM `wl_answer` WHERE ( `qid` = 15 ) AND ( answer.adopt = 0 ) LIMIT 1   [ RunTime:0.000000s ]
[ 2016-07-07T21:17:33+08:00 ] /QA/index.php/show/index/id/15 | SQL: SELECT answer.id AS id,answer.answer_content AS answer_content,answer.answer_time AS answer_time,Index_user.id AS id,Index_user.username AS username,Index_user.experience AS experience,Index_user.answer AS answer,Index_user.adopt AS adopt FROM wl_answer answer LEFT JOIN wl_index_user Index_user ON answer.uid=Index_user.id WHERE ( `qid` = 15 ) AND ( answer.adopt = 0 ) LIMIT 0,10   [ RunTime:0.001000s ]
[ 2016-07-07T21:17:33+08:00 ] /QA/index.php/show/index/id/15 | INFO: Tag[ view_template ] --START--
[ 2016-07-07T21:17:33+08:00 ] /QA/index.php/show/index/id/15 | INFO: Run LocationTemplate Behavior [ RunTime:0.002000s ]
[ 2016-07-07T21:17:33+08:00 ] /QA/index.php/show/index/id/15 | INFO: Tag[ view_template ] --END-- [ RunTime:0.002000s ]
[ 2016-07-07T21:17:33+08:00 ] /QA/index.php/show/index/id/15 | INFO: Tag[ view_parse ] --START--
[ 2016-07-07T21:17:33+08:00 ] /QA/index.php/show/index/id/15 | NOTIC: [8] Use of undefined constant solve - assumed 'solve' f354fc626e6f7e38fd97a443b43fbcf1.php 第 71 行.
[ 2016-07-07T21:17:33+08:00 ] /QA/index.php/show/index/id/15 | NOTIC: [8] Use of undefined constant ask - assumed 'ask' f354fc626e6f7e38fd97a443b43fbcf1.php 第 100 行.
[ 2016-07-07T21:17:33+08:00 ] /QA/index.php/show/index/id/15 | NOTIC: [8] Use of undefined constant solve - assumed 'solve' f354fc626e6f7e38fd97a443b43fbcf1.php 第 100 行.
[ 2016-07-07T21:17:33+08:00 ] /QA/index.php/show/index/id/15 | NOTIC: [8] Use of undefined constant id - assumed 'id' f354fc626e6f7e38fd97a443b43fbcf1.php 第 100 行.
[ 2016-07-07T21:17:33+08:00 ] /QA/index.php/show/index/id/15 | NOTIC: [8] Use of undefined constant id - assumed 'id' f354fc626e6f7e38fd97a443b43fbcf1.php 第 100 行.
[ 2016-07-07T21:17:33+08:00 ] /QA/index.php/show/index/id/15 | NOTIC: [8] Use of undefined constant uid - assumed 'uid' f354fc626e6f7e38fd97a443b43fbcf1.php 第 100 行.
[ 2016-07-07T21:17:33+08:00 ] /QA/index.php/show/index/id/15 | NOTIC: [8] Use of undefined constant ask - assumed 'ask' f354fc626e6f7e38fd97a443b43fbcf1.php 第 100 行.
[ 2016-07-07T21:17:33+08:00 ] /QA/index.php/show/index/id/15 | NOTIC: [8] Use of undefined constant solve - assumed 'solve' f354fc626e6f7e38fd97a443b43fbcf1.php 第 100 行.
[ 2016-07-07T21:17:33+08:00 ] /QA/index.php/show/index/id/15 | NOTIC: [8] Use of undefined constant id - assumed 'id' f354fc626e6f7e38fd97a443b43fbcf1.php 第 100 行.
[ 2016-07-07T21:17:33+08:00 ] /QA/index.php/show/index/id/15 | NOTIC: [8] Use of undefined constant id - assumed 'id' f354fc626e6f7e38fd97a443b43fbcf1.php 第 100 行.
[ 2016-07-07T21:17:33+08:00 ] /QA/index.php/show/index/id/15 | NOTIC: [8] Use of undefined constant uid - assumed 'uid' f354fc626e6f7e38fd97a443b43fbcf1.php 第 100 行.
[ 2016-07-07T21:17:33+08:00 ] /QA/index.php/show/index/id/15 | NOTIC: [8] Use of undefined constant ask - assumed 'ask' f354fc626e6f7e38fd97a443b43fbcf1.php 第 100 行.
[ 2016-07-07T21:17:33+08:00 ] /QA/index.php/show/index/id/15 | NOTIC: [8] Use of undefined constant solve - assumed 'solve' f354fc626e6f7e38fd97a443b43fbcf1.php 第 100 行.
[ 2016-07-07T21:17:33+08:00 ] /QA/index.php/show/index/id/15 | NOTIC: [8] Use of undefined constant id - assumed 'id' f354fc626e6f7e38fd97a443b43fbcf1.php 第 100 行.
[ 2016-07-07T21:17:33+08:00 ] /QA/index.php/show/index/id/15 | NOTIC: [8] Use of undefined constant id - assumed 'id' f354fc626e6f7e38fd97a443b43fbcf1.php 第 100 行.
[ 2016-07-07T21:17:33+08:00 ] /QA/index.php/show/index/id/15 | NOTIC: [8] Use of undefined constant uid - assumed 'uid' f354fc626e6f7e38fd97a443b43fbcf1.php 第 100 行.
[ 2016-07-07T21:17:33+08:00 ] /QA/index.php/show/index/id/15 | INFO: Run ParseTemplate Behavior [ RunTime:0.023001s ]
[ 2016-07-07T21:17:33+08:00 ] /QA/index.php/show/index/id/15 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.023001s ]
[ 2016-07-07T21:17:33+08:00 ] /QA/index.php/show/index/id/15 | INFO: Tag[ view_filter ] --START--
[ 2016-07-07T21:17:33+08:00 ] /QA/index.php/show/index/id/15 | INFO: Run ContentReplace Behavior [ RunTime:0.001000s ]
[ 2016-07-07T21:17:33+08:00 ] /QA/index.php/show/index/id/15 | INFO: Run TokenBuild Behavior [ RunTime:0.001000s ]
[ 2016-07-07T21:17:33+08:00 ] /QA/index.php/show/index/id/15 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001000s ]
[ 2016-07-07T21:17:33+08:00 ] /QA/index.php/show/index/id/15 | INFO: Run ShowRuntime Behavior [ RunTime:0.001000s ]
[ 2016-07-07T21:17:33+08:00 ] /QA/index.php/show/index/id/15 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005000s ]
[ 2016-07-07T21:17:33+08:00 ] /QA/index.php/show/index/id/15 | INFO: Tag[ view_end ] --START--
[ 2016-07-07T21:17:33+08:00 ] /QA/index.php/show/index/id/15 | INFO: Run ShowPageTrace Behavior [ RunTime:0.002000s ]
[ 2016-07-07T21:17:33+08:00 ] /QA/index.php/show/index/id/15 | INFO: Tag[ view_end ] --END-- [ RunTime:0.002000s ]
[ 2016-07-07T21:17:34+08:00 ] /QA/index.php/show/index/id/15 | INFO: Tag[ route_check ] --START--
[ 2016-07-07T21:17:34+08:00 ] /QA/index.php/show/index/id/15 | INFO: Run CheckRoute Behavior [ RunTime:0.002000s ]
[ 2016-07-07T21:17:34+08:00 ] /QA/index.php/show/index/id/15 | INFO: Tag[ route_check ] --END-- [ RunTime:0.002000s ]
[ 2016-07-07T21:17:34+08:00 ] /QA/index.php/show/index/id/15 | INFO: Tag[ app_begin ] --START--
[ 2016-07-07T21:17:34+08:00 ] /QA/index.php/show/index/id/15 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001000s ]
[ 2016-07-07T21:17:34+08:00 ] /QA/index.php/show/index/id/15 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002000s ]
[ 2016-07-07T21:17:35+08:00 ] /QA/index.php/show/index/id/15 | SQL: SHOW COLUMNS FROM `wl_question` [ RunTime:0.011001s ]
[ 2016-07-07T21:17:35+08:00 ] /QA/index.php/show/index/id/15 | SQL: SHOW COLUMNS FROM `wl_index_user` [ RunTime:0.011000s ]
[ 2016-07-07T21:17:35+08:00 ] /QA/index.php/show/index/id/15 | SQL: SELECT question.id AS id,question.ask_content AS ask_content,question.money_reward AS money_reward,question.solve AS solve,question.ask_time AS ask_time,question.cid AS cid,question.answer AS answer,question.uid AS uid,Index_user.username AS username,Index_user.experience AS experience FROM wl_question question LEFT JOIN wl_index_user Index_user ON question.uid = Index_user.id WHERE ( question.id = 15 ) LIMIT 1   [ RunTime:0.001000s ]
[ 2016-07-07T21:17:35+08:00 ] /QA/index.php/show/index/id/15 | SQL: SHOW COLUMNS FROM `wl_answer` [ RunTime:0.012001s ]
[ 2016-07-07T21:17:35+08:00 ] /QA/index.php/show/index/id/15 | SQL: SELECT answer.id AS id,answer.answer_content AS answer_content,answer.answer_time AS answer_time,Index_user.id AS id,Index_user.username AS username,Index_user.experience AS experience,Index_user.answer AS answer,Index_user.adopt AS adopt FROM wl_answer answer LEFT JOIN wl_index_user Index_user ON answer.uid=Index_user.id WHERE ( `aid` = 15 ) AND ( answer.adopt = 1 ) LIMIT 1   [ RunTime:0.001000s ]
[ 2016-07-07T21:17:35+08:00 ] /QA/index.php/show/index/id/15 | SQL: SELECT COUNT(*) AS tp_count FROM `wl_answer` WHERE ( `qid` = 15 ) AND ( answer.adopt = 0 ) LIMIT 1   [ RunTime:0.000000s ]
[ 2016-07-07T21:17:35+08:00 ] /QA/index.php/show/index/id/15 | SQL: SELECT answer.id AS id,answer.answer_content AS answer_content,answer.answer_time AS answer_time,Index_user.id AS id,Index_user.username AS username,Index_user.experience AS experience,Index_user.answer AS answer,Index_user.adopt AS adopt FROM wl_answer answer LEFT JOIN wl_index_user Index_user ON answer.uid=Index_user.id WHERE ( `qid` = 15 ) AND ( answer.adopt = 0 ) LIMIT 0,10   [ RunTime:0.001000s ]
[ 2016-07-07T21:17:35+08:00 ] /QA/index.php/show/index/id/15 | INFO: Tag[ view_template ] --START--
[ 2016-07-07T21:17:35+08:00 ] /QA/index.php/show/index/id/15 | INFO: Run LocationTemplate Behavior [ RunTime:0.001001s ]
[ 2016-07-07T21:17:35+08:00 ] /QA/index.php/show/index/id/15 | INFO: Tag[ view_template ] --END-- [ RunTime:0.001001s ]
[ 2016-07-07T21:17:35+08:00 ] /QA/index.php/show/index/id/15 | INFO: Tag[ view_parse ] --START--
[ 2016-07-07T21:17:35+08:00 ] /QA/index.php/show/index/id/15 | NOTIC: [8] Use of undefined constant solve - assumed 'solve' f354fc626e6f7e38fd97a443b43fbcf1.php 第 71 行.
[ 2016-07-07T21:17:35+08:00 ] /QA/index.php/show/index/id/15 | NOTIC: [8] Use of undefined constant ask - assumed 'ask' f354fc626e6f7e38fd97a443b43fbcf1.php 第 100 行.
[ 2016-07-07T21:17:35+08:00 ] /QA/index.php/show/index/id/15 | NOTIC: [8] Use of undefined constant solve - assumed 'solve' f354fc626e6f7e38fd97a443b43fbcf1.php 第 100 行.
[ 2016-07-07T21:17:35+08:00 ] /QA/index.php/show/index/id/15 | NOTIC: [8] Use of undefined constant id - assumed 'id' f354fc626e6f7e38fd97a443b43fbcf1.php 第 100 行.
[ 2016-07-07T21:17:35+08:00 ] /QA/index.php/show/index/id/15 | NOTIC: [8] Use of undefined constant id - assumed 'id' f354fc626e6f7e38fd97a443b43fbcf1.php 第 100 行.
[ 2016-07-07T21:17:35+08:00 ] /QA/index.php/show/index/id/15 | NOTIC: [8] Use of undefined constant uid - assumed 'uid' f354fc626e6f7e38fd97a443b43fbcf1.php 第 100 行.
[ 2016-07-07T21:17:35+08:00 ] /QA/index.php/show/index/id/15 | NOTIC: [8] Use of undefined constant ask - assumed 'ask' f354fc626e6f7e38fd97a443b43fbcf1.php 第 100 行.
[ 2016-07-07T21:17:35+08:00 ] /QA/index.php/show/index/id/15 | NOTIC: [8] Use of undefined constant solve - assumed 'solve' f354fc626e6f7e38fd97a443b43fbcf1.php 第 100 行.
[ 2016-07-07T21:17:35+08:00 ] /QA/index.php/show/index/id/15 | NOTIC: [8] Use of undefined constant id - assumed 'id' f354fc626e6f7e38fd97a443b43fbcf1.php 第 100 行.
[ 2016-07-07T21:17:35+08:00 ] /QA/index.php/show/index/id/15 | NOTIC: [8] Use of undefined constant id - assumed 'id' f354fc626e6f7e38fd97a443b43fbcf1.php 第 100 行.
[ 2016-07-07T21:17:35+08:00 ] /QA/index.php/show/index/id/15 | NOTIC: [8] Use of undefined constant uid - assumed 'uid' f354fc626e6f7e38fd97a443b43fbcf1.php 第 100 行.
[ 2016-07-07T21:17:35+08:00 ] /QA/index.php/show/index/id/15 | NOTIC: [8] Use of undefined constant ask - assumed 'ask' f354fc626e6f7e38fd97a443b43fbcf1.php 第 100 行.
[ 2016-07-07T21:17:35+08:00 ] /QA/index.php/show/index/id/15 | NOTIC: [8] Use of undefined constant solve - assumed 'solve' f354fc626e6f7e38fd97a443b43fbcf1.php 第 100 行.
[ 2016-07-07T21:17:35+08:00 ] /QA/index.php/show/index/id/15 | NOTIC: [8] Use of undefined constant id - assumed 'id' f354fc626e6f7e38fd97a443b43fbcf1.php 第 100 行.
[ 2016-07-07T21:17:35+08:00 ] /QA/index.php/show/index/id/15 | NOTIC: [8] Use of undefined constant id - assumed 'id' f354fc626e6f7e38fd97a443b43fbcf1.php 第 100 行.
[ 2016-07-07T21:17:35+08:00 ] /QA/index.php/show/index/id/15 | NOTIC: [8] Use of undefined constant uid - assumed 'uid' f354fc626e6f7e38fd97a443b43fbcf1.php 第 100 行.
[ 2016-07-07T21:17:35+08:00 ] /QA/index.php/show/index/id/15 | INFO: Run ParseTemplate Behavior [ RunTime:0.024001s ]
[ 2016-07-07T21:17:35+08:00 ] /QA/index.php/show/index/id/15 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.024001s ]
[ 2016-07-07T21:17:35+08:00 ] /QA/index.php/show/index/id/15 | INFO: Tag[ view_filter ] --START--
[ 2016-07-07T21:17:35+08:00 ] /QA/index.php/show/index/id/15 | INFO: Run ContentReplace Behavior [ RunTime:0.001000s ]
[ 2016-07-07T21:17:35+08:00 ] /QA/index.php/show/index/id/15 | INFO: Run TokenBuild Behavior [ RunTime:0.001000s ]
[ 2016-07-07T21:17:35+08:00 ] /QA/index.php/show/index/id/15 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001000s ]
[ 2016-07-07T21:17:35+08:00 ] /QA/index.php/show/index/id/15 | INFO: Run ShowRuntime Behavior [ RunTime:0.001000s ]
[ 2016-07-07T21:17:35+08:00 ] /QA/index.php/show/index/id/15 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004000s ]
[ 2016-07-07T21:17:35+08:00 ] /QA/index.php/show/index/id/15 | INFO: Tag[ view_end ] --START--
[ 2016-07-07T21:17:35+08:00 ] /QA/index.php/show/index/id/15 | INFO: Run ShowPageTrace Behavior [ RunTime:0.001000s ]
[ 2016-07-07T21:17:35+08:00 ] /QA/index.php/show/index/id/15 | INFO: Tag[ view_end ] --END-- [ RunTime:0.001000s ]
[ 2016-07-07T21:17:35+08:00 ] /QA/index.php/show/index/id/15 | INFO: Tag[ route_check ] --START--
[ 2016-07-07T21:17:35+08:00 ] /QA/index.php/show/index/id/15 | INFO: Run CheckRoute Behavior [ RunTime:0.002000s ]
[ 2016-07-07T21:17:35+08:00 ] /QA/index.php/show/index/id/15 | INFO: Tag[ route_check ] --END-- [ RunTime:0.003000s ]
[ 2016-07-07T21:17:35+08:00 ] /QA/index.php/show/index/id/15 | INFO: Tag[ app_begin ] --START--
[ 2016-07-07T21:17:35+08:00 ] /QA/index.php/show/index/id/15 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002000s ]
[ 2016-07-07T21:17:35+08:00 ] /QA/index.php/show/index/id/15 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002000s ]
[ 2016-07-07T21:17:36+08:00 ] /QA/index.php/show/index/id/15 | SQL: SHOW COLUMNS FROM `wl_question` [ RunTime:0.011001s ]
[ 2016-07-07T21:17:36+08:00 ] /QA/index.php/show/index/id/15 | SQL: SHOW COLUMNS FROM `wl_index_user` [ RunTime:0.012000s ]
[ 2016-07-07T21:17:36+08:00 ] /QA/index.php/show/index/id/15 | SQL: SELECT question.id AS id,question.ask_content AS ask_content,question.money_reward AS money_reward,question.solve AS solve,question.ask_time AS ask_time,question.cid AS cid,question.answer AS answer,question.uid AS uid,Index_user.username AS username,Index_user.experience AS experience FROM wl_question question LEFT JOIN wl_index_user Index_user ON question.uid = Index_user.id WHERE ( question.id = 15 ) LIMIT 1   [ RunTime:0.001000s ]
[ 2016-07-07T21:17:36+08:00 ] /QA/index.php/show/index/id/15 | SQL: SHOW COLUMNS FROM `wl_answer` [ RunTime:0.010000s ]
[ 2016-07-07T21:17:36+08:00 ] /QA/index.php/show/index/id/15 | SQL: SELECT answer.id AS id,answer.answer_content AS answer_content,answer.answer_time AS answer_time,Index_user.id AS id,Index_user.username AS username,Index_user.experience AS experience,Index_user.answer AS answer,Index_user.adopt AS adopt FROM wl_answer answer LEFT JOIN wl_index_user Index_user ON answer.uid=Index_user.id WHERE ( `aid` = 15 ) AND ( answer.adopt = 1 ) LIMIT 1   [ RunTime:0.001000s ]
[ 2016-07-07T21:17:36+08:00 ] /QA/index.php/show/index/id/15 | SQL: SELECT COUNT(*) AS tp_count FROM `wl_answer` WHERE ( `qid` = 15 ) AND ( answer.adopt = 0 ) LIMIT 1   [ RunTime:0.000000s ]
[ 2016-07-07T21:17:36+08:00 ] /QA/index.php/show/index/id/15 | SQL: SELECT answer.id AS id,answer.answer_content AS answer_content,answer.answer_time AS answer_time,Index_user.id AS id,Index_user.username AS username,Index_user.experience AS experience,Index_user.answer AS answer,Index_user.adopt AS adopt FROM wl_answer answer LEFT JOIN wl_index_user Index_user ON answer.uid=Index_user.id WHERE ( `qid` = 15 ) AND ( answer.adopt = 0 ) LIMIT 0,10   [ RunTime:0.001000s ]
[ 2016-07-07T21:17:36+08:00 ] /QA/index.php/show/index/id/15 | INFO: Tag[ view_template ] --START--
[ 2016-07-07T21:17:36+08:00 ] /QA/index.php/show/index/id/15 | INFO: Run LocationTemplate Behavior [ RunTime:0.002000s ]
[ 2016-07-07T21:17:36+08:00 ] /QA/index.php/show/index/id/15 | INFO: Tag[ view_template ] --END-- [ RunTime:0.002000s ]
[ 2016-07-07T21:17:36+08:00 ] /QA/index.php/show/index/id/15 | INFO: Tag[ view_parse ] --START--
[ 2016-07-07T21:17:36+08:00 ] /QA/index.php/show/index/id/15 | NOTIC: [8] Use of undefined constant solve - assumed 'solve' f354fc626e6f7e38fd97a443b43fbcf1.php 第 71 行.
[ 2016-07-07T21:17:36+08:00 ] /QA/index.php/show/index/id/15 | NOTIC: [8] Use of undefined constant ask - assumed 'ask' f354fc626e6f7e38fd97a443b43fbcf1.php 第 100 行.
[ 2016-07-07T21:17:36+08:00 ] /QA/index.php/show/index/id/15 | NOTIC: [8] Use of undefined constant solve - assumed 'solve' f354fc626e6f7e38fd97a443b43fbcf1.php 第 100 行.
[ 2016-07-07T21:17:36+08:00 ] /QA/index.php/show/index/id/15 | NOTIC: [8] Use of undefined constant id - assumed 'id' f354fc626e6f7e38fd97a443b43fbcf1.php 第 100 行.
[ 2016-07-07T21:17:36+08:00 ] /QA/index.php/show/index/id/15 | NOTIC: [8] Use of undefined constant id - assumed 'id' f354fc626e6f7e38fd97a443b43fbcf1.php 第 100 行.
[ 2016-07-07T21:17:36+08:00 ] /QA/index.php/show/index/id/15 | NOTIC: [8] Use of undefined constant uid - assumed 'uid' f354fc626e6f7e38fd97a443b43fbcf1.php 第 100 行.
[ 2016-07-07T21:17:36+08:00 ] /QA/index.php/show/index/id/15 | NOTIC: [8] Use of undefined constant ask - assumed 'ask' f354fc626e6f7e38fd97a443b43fbcf1.php 第 100 行.
[ 2016-07-07T21:17:36+08:00 ] /QA/index.php/show/index/id/15 | NOTIC: [8] Use of undefined constant solve - assumed 'solve' f354fc626e6f7e38fd97a443b43fbcf1.php 第 100 行.
[ 2016-07-07T21:17:36+08:00 ] /QA/index.php/show/index/id/15 | NOTIC: [8] Use of undefined constant id - assumed 'id' f354fc626e6f7e38fd97a443b43fbcf1.php 第 100 行.
[ 2016-07-07T21:17:36+08:00 ] /QA/index.php/show/index/id/15 | NOTIC: [8] Use of undefined constant id - assumed 'id' f354fc626e6f7e38fd97a443b43fbcf1.php 第 100 行.
[ 2016-07-07T21:17:36+08:00 ] /QA/index.php/show/index/id/15 | NOTIC: [8] Use of undefined constant uid - assumed 'uid' f354fc626e6f7e38fd97a443b43fbcf1.php 第 100 行.
[ 2016-07-07T21:17:36+08:00 ] /QA/index.php/show/index/id/15 | NOTIC: [8] Use of undefined constant ask - assumed 'ask' f354fc626e6f7e38fd97a443b43fbcf1.php 第 100 行.
[ 2016-07-07T21:17:36+08:00 ] /QA/index.php/show/index/id/15 | NOTIC: [8] Use of undefined constant solve - assumed 'solve' f354fc626e6f7e38fd97a443b43fbcf1.php 第 100 行.
[ 2016-07-07T21:17:36+08:00 ] /QA/index.php/show/index/id/15 | NOTIC: [8] Use of undefined constant id - assumed 'id' f354fc626e6f7e38fd97a443b43fbcf1.php 第 100 行.
[ 2016-07-07T21:17:36+08:00 ] /QA/index.php/show/index/id/15 | NOTIC: [8] Use of undefined constant id - assumed 'id' f354fc626e6f7e38fd97a443b43fbcf1.php 第 100 行.
[ 2016-07-07T21:17:36+08:00 ] /QA/index.php/show/index/id/15 | NOTIC: [8] Use of undefined constant uid - assumed 'uid' f354fc626e6f7e38fd97a443b43fbcf1.php 第 100 行.
[ 2016-07-07T21:17:36+08:00 ] /QA/index.php/show/index/id/15 | INFO: Run ParseTemplate Behavior [ RunTime:0.027002s ]
[ 2016-07-07T21:17:36+08:00 ] /QA/index.php/show/index/id/15 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.027002s ]
[ 2016-07-07T21:17:36+08:00 ] /QA/index.php/show/index/id/15 | INFO: Tag[ view_filter ] --START--
[ 2016-07-07T21:17:36+08:00 ] /QA/index.php/show/index/id/15 | INFO: Run ContentReplace Behavior [ RunTime:0.001000s ]
[ 2016-07-07T21:17:36+08:00 ] /QA/index.php/show/index/id/15 | INFO: Run TokenBuild Behavior [ RunTime:0.001000s ]
[ 2016-07-07T21:17:36+08:00 ] /QA/index.php/show/index/id/15 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000000s ]
[ 2016-07-07T21:17:36+08:00 ] /QA/index.php/show/index/id/15 | INFO: Run ShowRuntime Behavior [ RunTime:0.002000s ]
[ 2016-07-07T21:17:36+08:00 ] /QA/index.php/show/index/id/15 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005000s ]
[ 2016-07-07T21:17:36+08:00 ] /QA/index.php/show/index/id/15 | INFO: Tag[ view_end ] --START--
[ 2016-07-07T21:17:36+08:00 ] /QA/index.php/show/index/id/15 | INFO: Run ShowPageTrace Behavior [ RunTime:0.001000s ]
[ 2016-07-07T21:17:36+08:00 ] /QA/index.php/show/index/id/15 | INFO: Tag[ view_end ] --END-- [ RunTime:0.001000s ]
[ 2016-07-07T21:17:37+08:00 ] /QA/index.php/show/index/id/15 | INFO: Tag[ route_check ] --START--
